multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio,match
55,99 998 68,2020-02-09,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,15.0,urban_flow/data/raw/imgs/5ff91ccfc6f15d04_patente.jpg,2999961,0.5714285714285714,ERROR
56,VTII AHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,12.0,urban_flow/data/raw/imgs/28e26a4eb646c67a_patente.jpg,FVIOUHP,0.2857142857142857,ERROR
57,NTHG LFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0,urban_flow/data/raw/imgs/4e2cb95b9c509b10_patente.jpg,OTPGN64,0.2857142857142857,ERROR
59,FD 1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0,urban_flow/data/raw/imgs/d8daed582e6cce2d_patente.jpg,FD1475,1.0,OK
60,FVIO UHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,40.0,urban_flow/data/raw/imgs/28e26a4eb646c67a_patente.jpg,FVIOUHP,1.0,OK
61,VY 90 540,2022-11-08,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,urban_flow/data/raw/imgs/288a95c01e43cd14_patente_1.jpg,VY90540,1.0,OK
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,18.0,urban_flow/data/raw/imgs/0ee91c4938b6e7ee_patente.jpg,6NCE831,1.0,OK
64,M43 1ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,6.0,2.0,urban_flow/data/raw/imgs/299f0363ae21d1c3_patente.jpg,M431ZK,0.8333333333333334,OK
66,NTHG LFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,68.0,urban_flow/data/raw/imgs/4e2cb95b9c509b10_patente.jpg,OTPGN64,0.2857142857142857,ERROR
68,HK 06 YMX,2020-11-11,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,36.0,34.0,urban_flow/data/raw/imgs/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571428571428571,OK
69,VNK296 GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0,urban_flow/data/raw/imgs/16789af24af158d8.jpg,0nK226GP,0.625,ERROR
71,RFH 373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0,urban_flow/data/raw/imgs/a72a8cda1bb31e34_patente.jp2,RFN5D,0.3333333333333333,ERROR
72,HK 06 YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0,urban_flow/data/raw/imgs/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571428571428571,OK
75,W326 AVE,2021-04-21,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,15.0,urban_flow/data/raw/imgs/4ee3f0e9a2fb20a9_patente.jpg,6522DaayahyJla,0.14285714285714285,ERROR
77,B 81 JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,41.0,urban_flow/data/raw/imgs/80e02a518ffe4cb2_patente.jpg,B81JKY,1.0,OK
79,M VU 4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,36.0,33.0,urban_flow/data/raw/imgs/3feecc5809a29627_patente.jpg,MVU4688,1.0,OK
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0,urban_flow/data/raw/imgs/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0,OK
82,57 777 70,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0,urban_flow/data/raw/imgs/7f56adf4b9306ac9_patente.jpg,5777770,1.0,OK
90,M VU 4688,2023-09-21,18:04,49.0,40,RUTA 9,,PAGADA,9.0,7.0,urban_flow/data/raw/imgs/3feecc5809a29627_patente.jpg,MVU4688,1.0,OK
91,INTIGR8,2023-07-09,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,urban_flow/data/raw/imgs/0ee91c4938b6e7ee_patente.jpg,6NCE831,0.14285714285714285,ERROR
92,CD 056 01,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,61.0,urban_flow/data/raw/imgs/cb8c75fc1c7ccf73_patente.jpg,PCJ5661,0.42857142857142855,ERROR
93,3646 HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0,urban_flow/data/raw/imgs/d565d93637d4e76d_patente.jpg,B1G7HD,0.14285714285714285,ERROR
101,RFH 373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0,urban_flow/data/raw/imgs/a72a8cda1bb31e34_patente.jp2,RFN5D,0.3333333333333333,ERROR
102,B 81 JKY,2023-10-10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,63.0,urban_flow/data/raw/imgs/80e02a518ffe4cb2_patente.jpg,B81JKY,1.0,OK
103,57 777 70,2020-05-19,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,28.0,urban_flow/data/raw/imgs/7f56adf4b9306ac9_patente.jpg,5777770,1.0,OK
104,CD 056 01,1932-01-01,18:04,114.0,60,AV LIBERTADOR,,APELADA,54.0,51.0,urban_flow/data/raw/imgs/cb8c75fc1c7ccf73_patente.jpg,PCJ5661,0.42857142857142855,ERROR
106,WE FLYN,1932-01-01,09:06,77.0,40,RUTA 9,,IMPAGA,37.0,35.0,urban_flow/data/raw/imgs/d9fa2abf3719a4bd_patente_2.jpg,WASHINGTONA69985T,0.3333333333333333,ERROR
109,DI2 LOT,2021-08-12,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,14.0,urban_flow/data/raw/imgs/4ee3f0e9a2fb20a9_patente.jpg,6522DaayahyJla,0.16666666666666666,ERROR
114,BX 55 DOG,1932-01-01,18:05,121.0,60,RUTA 9,,ERROR,61.0,58.0,urban_flow/data/raw/imgs/9995dfc6e0eae5a1_patente.jpg,BM3501,0.2857142857142857,ERROR
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,76.0,74.0,urban_flow/data/raw/imgs/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0,OK
129,T0Y DR,2022-09-24,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,43.0,39.0,urban_flow/data/raw/imgs/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8,ERROR
131,409,1932-01-01,09:07,106.0,80,AV SIEMPRE VIVA,R01,PAGADA,26.0,22.0,urban_flow/data/raw/imgs/246a0e4264a39433_patente.jpg,509222,0.6666666666666666,ERROR
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,17.0,urban_flow/data/raw/imgs/b25d7d2cb7abf86b_patente_1.jpg,UK3932VIRGINIA,0.8333333333333334,OK
138,831 MDB,2021-05-09,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0,urban_flow/data/raw/imgs/628a23a43f19c4db_patente.jpg,83MDB,0.3333333333333333,ERROR
140,M VU 4688,1932-01-01,09:08,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,47.0,urban_flow/data/raw/imgs/3feecc5809a29627_patente.jpg,MVU4688,1.0,OK
141,INTIGR8,2022-04-13,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,45.0,urban_flow/data/raw/imgs/0ee91c4938b6e7ee_patente.jpg,6NCE831,0.14285714285714285,ERROR
144,HF 58 HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,39.0,37.0,urban_flow/data/raw/imgs/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571428571428571,OK
146,T0Y DR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,41.0,urban_flow/data/raw/imgs/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8,ERROR
147,WE FLYN,2021-12-13,09:08,129.0,60,AV SIEMPRE VIVA,,ERROR,69.0,66.0,urban_flow/data/raw/imgs/d9fa2abf3719a4bd_patente_2.jpg,WASHINGTONA69985T,0.3333333333333333,ERROR
148,FD 1475,2023-10-07,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,22.0,urban_flow/data/raw/imgs/d8daed582e6cce2d_patente.jpg,FD1475,1.0,OK
149,990 XYK,2022-11-25,14:05,109.0,80,AV LIBERTADOR,,APELADA,29.0,25.0,urban_flow/data/raw/imgs/11f80fda2c38011c.jpg,990XKK,0.8333333333333334,OK
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0,urban_flow/data/raw/imgs/0ee91c4938b6e7ee_patente.jpg,6NCE831,0.14285714285714285,ERROR
155,691 XC 80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0,urban_flow/data/raw/imgs/5a122adbb1a776b7_patente.jpg,691XC80,1.0,OK
161,990 XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0,urban_flow/data/raw/imgs/11f80fda2c38011c.jpg,990XKK,0.8333333333333334,OK
162,NTHG LFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0,urban_flow/data/raw/imgs/4e2cb95b9c509b10_patente.jpg,OTPGN64,0.2857142857142857,ERROR
164,M VU 4688,2020-10-07,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,urban_flow/data/raw/imgs/3feecc5809a29627_patente.jpg,MVU4688,1.0,OK
165,GE 1466,2021-09-25,00:00,108.0,40,AV LIBERTADOR,,APELADA,68.0,66.0,urban_flow/data/raw/imgs/a3ad91fabd188be3_patente.jpg,6E1466_,0.8333333333333334,OK
166,BM 351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,32.0,28.0,urban_flow/data/raw/imgs/9995dfc6e0eae5a1_patente.jpg,BM3501,0.8,ERROR
170,WE FLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0,urban_flow/data/raw/imgs/d9fa2abf3719a4bd_patente_2.jpg,WASHINGTONA69985T,0.3333333333333333,ERROR
171,CD 056 01,2023-08-11,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0,urban_flow/data/raw/imgs/cb8c75fc1c7ccf73_patente.jpg,PCJ5661,0.42857142857142855,ERROR
172,810 TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0,urban_flow/data/raw/imgs/d565d93637d4e76d_patente.jpg,B1G7HD,0.16666666666666666,ERROR
176,B 81 JKY,1932-01-01,09:09,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,28.0,urban_flow/data/raw/imgs/80e02a518ffe4cb2_patente.jpg,B81JKY,1.0,OK
178,WU 341 A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0,urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,GF3461,0.3333333333333333,ERROR
183,UM 96 201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,60.0,urban_flow/data/raw/imgs/09453a7c716a9ef3_patente.jpg,UM96201,1.0,OK
184,81ZFJD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,31.0,27.0,urban_flow/data/raw/imgs/d565d93637d4e76d_patente.jpg,B1G7HD,0.3333333333333333,ERROR
188,TL03 GOG,2021-08-13,08:08,93.0,40,RUTA 9,,PAGADA,53.0,51.0,urban_flow/data/raw/imgs/fdd963edc28bf163_patente.jpg,TL03GoG,0.8571428571428571,OK
190,VNK296 GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0,urban_flow/data/raw/imgs/16789af24af158d8.jpg,0nK226GP,0.625,ERROR
191,VY 90 540,2022-02-05,08:08,98.0,60,RUTA 9,,IMPAGA,38.0,35.0,urban_flow/data/raw/imgs/288a95c01e43cd14_patente_1.jpg,VY90540,1.0,OK
192,YLO8 WUE,2021-12-18,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,60.0,56.0,urban_flow/data/raw/imgs/53386dae3cf13cc3_patente_2.jpg,RLOAXVY,0.2857142857142857,ERROR
193,3646 HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0,urban_flow/data/raw/imgs/d565d93637d4e76d_patente.jpg,B1G7HD,0.14285714285714285,ERROR
197,DK 414 N,2020-05-03,00:00,69.0,40,AV SIEMPRE VIVA,,APELADA,29.0,27.0,urban_flow/data/raw/imgs/2a3e44107826e876_patente.jpg,DK414N,1.0,OK
200,57 777 70,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0,urban_flow/data/raw/imgs/7f56adf4b9306ac9_patente.jpg,5777770,1.0,OK
202,66 111 72,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,77.0,74.0,urban_flow/data/raw/imgs/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0,OK
204,66 111 72,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0,urban_flow/data/raw/imgs/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0,OK
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,75.0,urban_flow/data/raw/imgs/86c92b0402fec141_patente.jpg,41RSTZ,0.2857142857142857,ERROR
208,VNK296 GP,1932-01-01,09:11,79.0,60,AV LIBERTADOR,R02,ERROR,19.0,16.0,urban_flow/data/raw/imgs/16789af24af158d8.jpg,0nK226GP,0.625,ERROR
209,GN64 OTP,1932-01-01,18:09,97.0,60,RUTA 9,,IMPAGA,37.0,34.0,urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,GF3461,0.2857142857142857,ERROR
211,29 999 61,2022-06-06,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,urban_flow/data/raw/imgs/5ff91ccfc6f15d04_patente.jpg,2999961,1.0,OK
216,M43 1ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,46.0,urban_flow/data/raw/imgs/299f0363ae21d1c3_patente.jpg,M431ZK,0.8333333333333334,OK
217,B 81 JKY,2022-08-02,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,50.0,urban_flow/data/raw/imgs/80e02a518ffe4cb2_patente.jpg,B81JKY,1.0,OK
218,57 777 70,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0,urban_flow/data/raw/imgs/7f56adf4b9306ac9_patente.jpg,5777770,1.0,OK
221,RFH 373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0,urban_flow/data/raw/imgs/a72a8cda1bb31e34_patente.jp2,RFN5D,0.3333333333333333,ERROR
222,X IIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,20.0,urban_flow/data/raw/imgs/64de505bd2bac82b_patente.jpg,XIIUME,1.0,OK
227,CD 056 01,1932-01-01,14:07,109.0,80,AV LIBERTADOR,,IMPAGA,29.0,25.0,urban_flow/data/raw/imgs/cb8c75fc1c7ccf73_patente.jpg,PCJ5661,0.42857142857142855,ERROR
228,CT5 B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,urban_flow/data/raw/imgs/ccc1a2d44a290368_patente.jpg,C26727Ca,0.2857142857142857,ERROR
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0,urban_flow/data/raw/imgs/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0,OK
231,AI7 OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0,urban_flow/data/raw/imgs/747b0f12f54703ee_patente.jpg,AI70VF,0.8333333333333334,OK
233,N HZ 1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,66.0,urban_flow/data/raw/imgs/53ad98b12752ad16_patente.jpg,Io810TCH,0.2857142857142857,ERROR
236,831 MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0,urban_flow/data/raw/imgs/628a23a43f19c4db_patente.jpg,83MDB,0.3333333333333333,ERROR
240,W326 AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0,urban_flow/data/raw/imgs/4ee3f0e9a2fb20a9_patente.jpg,6522DaayahyJla,0.14285714285714285,ERROR
241,CT5 B876,2022-06-04,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,23.0,urban_flow/data/raw/imgs/ccc1a2d44a290368_patente.jpg,C26727Ca,0.2857142857142857,ERROR
243,N HZ 1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,74.0,urban_flow/data/raw/imgs/53ad98b12752ad16_patente.jpg,Io810TCH,0.2857142857142857,ERROR
247,GN64 OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,GF3461,0.2857142857142857,ERROR
248,VY 90 540,2020-08-30,18:11,123.0,60,AV LIBERTADOR,,ERROR,63.0,60.0,urban_flow/data/raw/imgs/288a95c01e43cd14_patente_1.jpg,VY90540,1.0,OK
249,66 111 72,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0,urban_flow/data/raw/imgs/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0,OK
256,X IIUME,2020-04-30,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,45.0,41.0,urban_flow/data/raw/imgs/64de505bd2bac82b_patente.jpg,XIIUME,1.0,OK
257,BM 351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,38.0,36.0,urban_flow/data/raw/imgs/9995dfc6e0eae5a1_patente.jpg,BM3501,0.8,ERROR
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0,urban_flow/data/raw/imgs/86c92b0402fec141_patente.jpg,41RSTZ,0.2857142857142857,ERROR
262,BHRP 770,2020-03-29,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0,urban_flow/data/raw/imgs/321ffb38656f7311_patente.jpg,BHRP770,1.0,OK
263,990 XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0,urban_flow/data/raw/imgs/11f80fda2c38011c.jpg,990XKK,0.8333333333333334,OK
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,8.0,5.0,urban_flow/data/raw/imgs/ee047c8ca2cca8a2_patente.jpg,OVIAVEL,0.16666666666666666,ERROR
275,WE FLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0,urban_flow/data/raw/imgs/d9fa2abf3719a4bd_patente_2.jpg,WASHINGTONA69985T,0.3333333333333333,ERROR
285,41 RS TZ,2022-02-03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,69.0,urban_flow/data/raw/imgs/86c92b0402fec141_patente.jpg,41RSTZ,1.0,OK
288,GCP332,2023-05-31,08:11,91.0,80,RUTA 9,,IMPAGA,11.0,7.0,urban_flow/data/raw/imgs/b25d7d2cb7abf86b_patente_1.jpg,UK3932VIRGINIA,0.3333333333333333,ERROR
294,810 TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0,urban_flow/data/raw/imgs/d565d93637d4e76d_patente.jpg,B1G7HD,0.16666666666666666,ERROR
297,GOOGLE,2022-07-22,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,25.0,urban_flow/data/raw/imgs/b9f5b9acf1777acf.jpg,A60GLENIE,0.5,ERROR
298,VY 90 540,2021-09-18,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,urban_flow/data/raw/imgs/288a95c01e43cd14_patente_1.jpg,VY90540,1.0,OK
301,J1S1,1932-01-01,09:13,121.0,80,AV SIEMPRE VIVA,,PAGADA,41.0,37.0,urban_flow/data/raw/imgs/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0,OK
302,GN64 OTP,2021-11-08,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,73.0,urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,GF3461,0.2857142857142857,ERROR
303,CBM UK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,39.0,36.0,urban_flow/data/raw/imgs/65e080f9ac466664_patente.jpg,CsoKZI,0.2,ERROR
306,X IIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0,urban_flow/data/raw/imgs/64de505bd2bac82b_patente.jpg,XIIUME,1.0,OK
307,409,2023-01-06,18:14,96.0,40,RUTA 9,R01,PAGADA,56.0,54.0,urban_flow/data/raw/imgs/246a0e4264a39433_patente.jpg,509222,0.6666666666666666,ERROR
308,FD 1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,73.0,69.0,urban_flow/data/raw/imgs/d8daed582e6cce2d_patente.jpg,FD1475,1.0,OK
309,VTII AHV,2022-07-03,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,61.0,urban_flow/data/raw/imgs/28e26a4eb646c67a_patente.jpg,FVIOUHP,0.2857142857142857,ERROR
311,CBM UK,2023-04-02,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,78.0,urban_flow/data/raw/imgs/65e080f9ac466664_patente.jpg,CsoKZI,0.2,ERROR
315,M PX 9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0,urban_flow/data/raw/imgs/182268e1f8c6525f_patente.jpg,MPX9357,1.0,OK
317,GN64 OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,4.0,urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,GF3461,0.2857142857142857,ERROR
319,WU 341 A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,31.0,urban_flow/data/raw/imgs/a6e3b0b73220cd32_patente.jpg,GF3461,0.3333333333333333,ERROR
320,OUTSTDN,2020-12-18,08:12,120.0,60,RUTA 9,,ERROR,60.0,57.0,urban_flow/data/raw/imgs/86c92b0402fec141_patente.jpg,41RSTZ,0.2857142857142857,ERROR
322,UW3932,2021-07-12,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,20.0,16.0,urban_flow/data/raw/imgs/b25d7d2cb7abf86b_patente_1.jpg,UK3932VIRGINIA,0.8333333333333334,OK
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,16.0,12.0,urban_flow/data/raw/imgs/86c92b0402fec141_patente.jpg,41RSTZ,0.2857142857142857,ERROR
